Year,State,State Birth Rate,State Lower CI,State Upper CI
2003,Alabama,54.502985074626864,46.82238805970149,63.12238805970149
2003,Alaska,44.93600000000001,32.891999999999996,62.156000000000006
2003,Arizona,64.77333333333334,58.64666666666667,71.48
2003,Arkansas,61.10666666666667,51.24133333333333,72.37599999999999
2003,California,38.310344827586206,34.220689655172414,43.165517241379305
2003,Colorado,43.61875,32.5125,60.10625
2003,Connecticut,21.7625,19.875,23.775
2003,Delaware,46.96666666666667,43.46666666666667,50.699999999999996
2003,District of Columbia,42.1,39.9,44.3
2003,Florida,55.286567164179104,48.514925373134325,62.84029850746269
2003,Georgia,62.474213836477986,52.227672955974846,74.30062893081761
2003,Hawaii,40.325,36.675,44.175
2003,Idaho,40.38181818181818,30.75,52.85681818181818
2003,Illinois,37.86666666666667,30.884313725490195,46.17058823529411
2003,Indiana,40.6445652173913,34.23586956521739,48.0
2003,Iowa,30.117171717171715,23.197979797979798,38.5989898989899
2003,Kansas,38.41428571428571,28.15142857142857,52.07904761904762
2003,Kentucky,53.3675,43.638333333333335,64.69333333333333
2003,Louisiana,58.7203125,50.646875,67.771875
2003,Maine,27.46875,23.16875,32.3375
2003,Maryland,34.104166666666664,30.095833333333335,38.55416666666667
2003,Massachusetts,20.364285714285717,18.114285714285714,23.064285714285713
2003,Michigan,33.918072289156626,28.23012048192771,40.672289156626505
2003,Minnesota,27.90919540229885,21.866666666666667,35.371264367816096
2003,Mississippi,65.70853658536586,55.823170731707314,76.89512195121951
2003,Missouri,47.91652173913043,39.040000000000006,58.42086956521739
2003,Montana,31.792857142857144,22.150000000000002,46.642857142857146
2003,Nebraska,28.247311827956988,18.335483870967742,44.663440860215054
2003,Nevada,42.63529411764706,32.6764705882353,56.86470588235294
2003,New Hampshire,21.32,18.119999999999997,24.93
2003,New Jersey,26.742857142857144,24.576190476190476,29.06190476190476
2003,New Mexico,60.84545454545455,50.49090909090909,74.06969696969698
2003,New York,24.40806451612903,21.366129032258065,27.862903225806452
2003,North Carolina,52.513999999999996,45.338,60.63
2003,North Dakota,25.80754716981132,16.70566037735849,40.10377358490566
2003,Ohio,38.981818181818184,33.919318181818184,44.637499999999996
2003,Oklahoma,57.28311688311688,47.22857142857143,69.05714285714285
2003,Oregon,35.84166666666667,29.202777777777776,44.419444444444444
2003,Pennsylvania,27.24328358208955,23.519402985074628,31.53283582089552
2003,Rhode Island,18.74,16.66,21.1
2003,South Carolina,57.417391304347824,50.334782608695654,65.25
2003,South Dakota,34.09545454545455,24.063636363636363,48.342424242424244
2003,Tennessee,55.6,46.811578947368425,65.65578947368421
2003,Texas,65.8244094488189,53.11732283464567,82.48858267716535
2003,Utah,33.727586206896554,26.403448275862072,43.775862068965516
2003,Vermont,21.74285714285714,17.064285714285713,27.37142857142857
2003,Virginia,40.13082706766917,32.703759398496246,48.9578947368421
2003,Washington,38.61025641025641,32.6974358974359,45.720512820512816
2003,West Virginia,42.31454545454546,34.31272727272727,51.74181818181818
2003,Wisconsin,27.469444444444445,22.458333333333332,33.412499999999994
2003,Wyoming,40.84347826086957,31.878260869565214,51.917391304347824
2004,Alabama,53.90149253731344,47.75671641791045,60.656716417910445
2004,Alaska,45.088,34.611999999999995,59.523999999999994
2004,Arizona,63.88,59.153333333333336,68.99333333333334
2004,Arkansas,61.108000000000004,52.97866666666667,70.19333333333333
2004,California,37.75344827586206,34.46896551724138,41.601724137931036
2004,Colorado,42.6546875,33.1703125,56.25
2004,Connecticut,20.9875,19.575,22.4625
2004,Delaware,45.76666666666667,43.26666666666667,48.43333333333334
2004,District of Columbia,43.2,41.6,44.8
2004,Florida,54.25223880597015,48.91641791044776,60.099999999999994
2004,Georgia,61.533962264150944,53.172955974842765,70.98805031446541
2004,Hawaii,40.35,37.575,43.275
2004,Idaho,39.85,31.677272727272726,50.122727272727275
2004,Illinois,37.726470588235294,31.887254901960784,44.501960784313724
2004,Indiana,40.516304347826086,35.267391304347825,46.4054347826087
2004,Iowa,30.074747474747475,24.148484848484845,37.13838383838384
2004,Kansas,38.45428571428571,29.451428571428572,50.06190476190476
2004,Kentucky,53.766666666666666,45.600833333333334,63.04
2004,Louisiana,58.2921875,51.7875,65.4390625
2004,Maine,27.3625,23.8625,31.23125
2004,Maryland,33.395833333333336,30.28333333333333,36.791666666666664
2004,Massachusetts,19.978571428571428,18.185714285714287,22.114285714285717
2004,Michigan,33.50722891566265,28.81807228915663,38.95180722891566
2004,Minnesota,27.77126436781609,22.629885057471263,33.94482758620689
2004,Mississippi,65.94878048780488,57.863414634146345,74.90365853658537
2004,Missouri,47.58608695652173,40.184347826086956,56.138260869565215
2004,Montana,31.84642857142857,23.321428571428573,44.496428571428574
2004,Nebraska,28.023655913978494,19.198924731182796,42.03333333333333
2004,Nevada,42.48235294117647,33.800000000000004,54.523529411764706
2004,New Hampshire,21.04,18.48,23.869999999999997
2004,New Jersey,26.038095238095234,24.433333333333334,27.719047619047622
2004,New Mexico,60.46060606060606,51.92424242424242,71.06363636363636
2004,New York,24.243548387096773,21.80483870967742,26.95967741935484
2004,North Carolina,51.728,46.018,58.059
2004,North Dakota,26.169811320754718,17.88490566037736,38.658490566037734
2004,Ohio,38.711363636363636,34.684090909090905,43.11818181818182
2004,Oklahoma,57.71298701298701,49.25714285714286,67.3974025974026
2004,Oregon,35.69722222222222,30.09722222222222,42.72777777777778
2004,Pennsylvania,27.235820895522387,24.20149253731343,30.65820895522388
2004,Rhode Island,18.52,16.86,20.339999999999996
2004,South Carolina,56.80652173913043,51.24565217391305,62.84130434782608
